phone,axes,first_with,with_without,first_without
w,Cowardly - Brave,++0.005974,++0.1996,1.855e-05
w,Dangerous - Secure,++0.2684,++0.1132,++0.3954
w,Dark - Luminous,++0.0686,++0.05214,0.0002634
w,Difficult - Easy,0.0007566,++0.2556,0.0001561
w,Evil - Benign,++0.006734,0.0002329,++0.4809
w,Faded - Bright,++0.4152,++0.3238,++0.4587
w,Feeble - Strong,++0.01988,++0.02821,++0.149
w,Masculine - Feminine,++0.1365,++0.1714,++0.2809
w,Passive - Active,++0.06951,++0.00494,++0.3067
w,Quiet - Loud,++0.002601,++0.002539,++0.1282
w,Rough - Tender,++0.05775,++0.2268,++0.07161
w,Sad - Joyful,++0.001855,4.89e-08,++0.2436
w,Short - Long,++0.1976,++0.09155,++0.4969
w,Slow - Quick,0.0001106,++0.001273,++0.01263
w,Small - Big,8.477e-05,++0.06845,0.000113
w,Smooth - Rough_or_not_smooth,++0.2104,0.0001099,++0.01907
w,Ugly - Beautiful,++0.456,++0.004491,++0.01216
ə,Angular - Round,++0.004252,++0.001688,0.0007006
ə,Bad - Good,1.415e-09,8.066e-22,4.302e-06
ə,Cold - Hot,++0.1662,1.176e-11,++0.3704
ə,Complex - Simple,++0.03909,++0.04272,++0.01605
ə,Cowardly - Brave,6.787e-05,1.193e-47,++0.1416
ə,Dangerous - Secure,1.003e-05,++0.01705,6.485e-07
ə,Dark - Luminous,2.269e-06,1.232e-08,0.0001609
ə,Difficult - Easy,++0.00538,1.936e-07,++0.04276
ə,Evil - Benign,6.696e-10,5.801e-23,2.724e-06
ə,Faded - Bright,2.189e-06,++0.2636,1.796e-06
ə,Feeble - Strong,1.486e-08,5.581e-17,1.942e-05
ə,Masculine - Feminine,++0.3793,1.134e-05,++0.1416
ə,Passive - Active,++0.09909,8.917e-13,++0.007133
ə,Quiet - Loud,++0.1471,2.032e-07,++0.02429
ə,Rough - Tender,++0.005393,1.32e-14,++0.1124
ə,Sad - Joyful,++0.05097,++0.05159,++0.023
ə,Short - Long,3.592e-06,++0.1496,2.269e-06
ə,Slow - Quick,++0.002595,2.96e-06,7.939e-05
ə,Small - Big,1.766e-05,5.737e-07,3.618e-07
ə,Smooth - Rough_or_not_smooth,++0.279,5.327e-27,++0.005983
ə,Ugly - Beautiful,++0.4701,0.000553,++0.332
i,Angular - Round,++1.0,++0.2689,++1.0
i,Bad - Good,++1.0,5.973e-07,++1.0
i,Cold - Hot,++1.0,2.276e-32,++1.0
i,Complex - Simple,++1.0,1.1e-34,++1.0
i,Cowardly - Brave,++1.0,++0.441,++1.0
i,Dangerous - Secure,++1.0,4.37e-16,++1.0
i,Dark - Luminous,++1.0,9.404e-10,++1.0
i,Difficult - Easy,++1.0,++0.1097,++1.0
i,Evil - Benign,++1.0,++0.288,++1.0
i,Faded - Bright,++1.0,++0.003677,++1.0
i,Feeble - Strong,++1.0,3.921e-10,++1.0
i,Masculine - Feminine,++1.0,6.996e-13,++1.0
i,Passive - Active,++1.0,3.153e-21,++1.0
i,Quiet - Loud,++1.0,2.328e-06,++1.0
i,Rough - Tender,++1.0,8.07e-29,++1.0
i,Sad - Joyful,++1.0,2.936e-10,++1.0
i,Short - Long,++1.0,1.47e-11,++1.0
i,Slow - Quick,++1.0,8.215e-05,++1.0
i,Small - Big,++1.0,++0.0785,++1.0
i,Smooth - Rough_or_not_smooth,++1.0,1.353e-09,++1.0
i,Ugly - Beautiful,++1.0,1.376e-23,++1.0
ʌ,Angular - Round,2.992e-13,3.552e-05,1.799e-09
ʌ,Bad - Good,1.821e-11,8.945e-14,4.471e-27
ʌ,Cold - Hot,1.396e-19,++0.3905,2.324e-23
ʌ,Complex - Simple,1.853e-09,++0.4081,5.249e-12
ʌ,Cowardly - Brave,++0.2971,3.784e-06,++0.002205
ʌ,Dangerous - Secure,1.075e-31,1.547e-11,5.24e-56
ʌ,Dark - Luminous,3.615e-24,4.701e-09,9.235e-43
ʌ,Difficult - Easy,3.714e-05,3.958e-10,9.82e-14
ʌ,Evil - Benign,3.855e-21,7.832e-13,5.726e-42
ʌ,Faded - Bright,2.315e-09,++0.4101,4.333e-12
ʌ,Feeble - Strong,2.027e-22,++0.03267,9.708e-32
ʌ,Masculine - Feminine,++0.06579,4.203e-11,9.001e-08
ʌ,Passive - Active,3.385e-12,++0.1109,2.064e-13
ʌ,Quiet - Loud,++0.02668,++0.002592,++0.2083
ʌ,Rough - Tender,9.998e-06,8.126e-10,2.427e-16
ʌ,Sad - Joyful,++0.1801,++0.4336,++0.1701
ʌ,Short - Long,1.104e-17,++0.4573,3.829e-22
ʌ,Slow - Quick,5.922e-20,++0.09585,4.656e-27
ʌ,Small - Big,9.518e-11,++0.001113,3.996e-18
ʌ,Smooth - Rough_or_not_smooth,3.269e-07,++0.1013,1.53e-10
ʌ,Ugly - Beautiful,++0.001084,++0.1472,2.507e-05
e,Angular - Round,++0.1926,++0.006271,++0.3486
e,Bad - Good,++0.1959,++0.4806,++0.1946
e,Cold - Hot,0.0001181,++0.07521,0.0002927
e,Complex - Simple,++0.2678,0.0001567,++0.4544
e,Cowardly - Brave,++0.004173,++0.02084,++0.01338
e,Dangerous - Secure,++0.248,4.144e-06,++0.04107
e,Dark - Luminous,++0.4064,4.441e-06,++0.1147
e,Difficult - Easy,++0.3554,++0.2346,++0.4185
e,Evil - Benign,++0.2566,6.234e-08,++0.0337
e,Faded - Bright,++0.3813,0.0004398,++0.1669
e,Feeble - Strong,++0.098,++0.4991,++0.0983
e,Masculine - Feminine,++0.2743,7.916e-35,++0.03354
e,Passive - Active,3.869e-06,6.866e-12,0.000697
e,Quiet - Loud,++0.02371,++0.09997,++0.04706
e,Rough - Tender,++0.004454,1.72e-26,++0.2612
e,Sad - Joyful,++0.1313,++0.0052,++0.04315
e,Short - Long,2.866e-08,3.647e-05,1.617e-06
e,Slow - Quick,4.551e-05,++0.1765,9.144e-05
e,Small - Big,++0.02941,8.323e-06,++0.1874
e,Smooth - Rough_or_not_smooth,++0.4199,2.359e-09,++0.1399
e,Ugly - Beautiful,++0.02604,3.641e-10,0.0006974
ʊ,Angular - Round,++1.0,5.43e-09,++1.0
ʊ,Bad - Good,++1.0,++0.3262,++1.0
ʊ,Cold - Hot,++1.0,++0.02716,++1.0
