phone,axes,first_with,with_without,first_without
b,Cowardly - Brave,++0.0681,++0.1079,++0.2253
b,Dangerous - Secure,++0.4884,++0.02066,++0.04437
b,Dark - Luminous,++0.2654,++0.2535,++0.4051
b,Difficult - Easy,++0.002037,++0.02594,++0.0245
b,Evil - Benign,++0.4663,++0.1425,++0.2041
b,Faded - Bright,++0.1443,++0.02951,++0.3744
b,Feeble - Strong,++0.01023,++0.1776,++0.01678
b,Masculine - Feminine,++0.394,++0.4876,++0.3511
b,Passive - Active,++0.2525,++0.3686,++0.1126
b,Quiet - Loud,++0.1777,++0.399,++0.07697
b,Rough - Tender,++0.3893,++0.1784,++0.1309
b,Sad - Joyful,++0.01186,++0.452,++0.002452
b,Short - Long,++0.151,++0.01121,++0.1982
b,Slow - Quick,++0.01635,++0.01339,++0.2065
b,Small - Big,++0.0243,++0.01213,++0.3746
b,Smooth - Rough_or_not_smooth,++0.1912,++0.3578,++0.06943
b,Ugly - Beautiful,++0.001991,++0.001735,++0.1517
t,Angular - Round,++0.44,3.136e-07,++0.001061
t,Bad - Good,++0.1846,++0.008199,++0.2892
t,Cold - Hot,++0.1708,++0.04062,++0.01796
t,Complex - Simple,++0.2293,2.119e-06,0.0003212
t,Cowardly - Brave,++0.05848,++0.1835,++0.1164
t,Dangerous - Secure,++0.2415,0.000487,++0.002175
t,Dark - Luminous,++0.1231,++0.1768,++0.236
t,Difficult - Easy,++0.1025,5.806e-05,0.0001953
t,Evil - Benign,++0.4289,++0.05997,++0.1207
t,Faded - Bright,++0.1718,++0.08444,++0.03466
t,Feeble - Strong,++0.05767,0.0004665,++0.3883
t,Masculine - Feminine,++0.1743,2.451e-08,++0.007178
t,Passive - Active,++0.04432,3.224e-05,++0.248
t,Quiet - Loud,++0.06461,++0.1244,++0.1746
t,Rough - Tender,++0.2645,++0.1067,++0.07051
t,Sad - Joyful,++0.04479,++0.3566,++0.01688
t,Short - Long,++0.382,0.0009273,++0.05596
t,Slow - Quick,++0.1257,++0.439,++0.08627
t,Small - Big,++0.3371,7.134e-11,7.993e-06
t,Smooth - Rough_or_not_smooth,++0.0758,++0.2027,++0.1454
t,Ugly - Beautiful,++0.2986,++0.2218,++0.4669
d,Angular - Round,++0.2958,++0.005104,++0.01868
d,Bad - Good,++0.1791,3.429e-06,0.0001638
